model,CO-0.00,CO-115.27,CO-230.54,CO-345.80,CO-461.04,CO-576.27,CO-691.47,CO-806.65,CO-921.80
1,0.0,562.378865798612,1318.1291352980577,1572.8460324435064,1508.834621130112,1277.1765014495052,919.1318373209599,515.8216321702489,209.07341981725432
2,0.0,169.2507405794919,636.8274708275264,1288.0526849007472,1954.1482781665345,2473.02195168174,2744.7362188483044,2745.25996164976,2507.1736590748105
3,0.0,950.9932211723612,2399.7037940341447,2874.377612603913,2754.015784483156,2377.130751257801,1849.5878261254582,1246.3831076899498,685.7030915260312
4,0.0,375.04145736570536,1351.632996894187,2549.7351917509886,3563.2419182458593,4182.74106345786,4391.790483986876,4254.3595056979975,3844.298496276543
5,0.0,302.27593542541996,1148.5993969274207,2133.828546764013,2712.835997385031,2776.167854479206,2467.8075777819563,1951.0012088831882,1370.5069757649064
6,0.0,1019.9634729521516,2846.072422639567,3351.978239950604,3104.8000606414994,2575.9102803915507,1936.3247375488993,1291.3233689417953,747.3849960064614
7,0.0,850.2016869019113,735.7346048565115,553.9463206476472,296.1619387557427,90.37629874495991,12.315035907705946,0.8247952132496075,0.04414128793146719
8,0.0,330.10192358191443,942.1687692179279,1335.7172653038797,1419.6301645552355,1278.2836994236068,988.5488189018074,634.9184047845854,324.09404687646986
9,0.0,530.9730052006929,1905.7349243802435,3524.7231213839636,4773.8540215641615,5437.1496356756315,5587.081042242371,5351.849295729302,4834.24744053032
10,0.0,605.1051833136149,1720.1398053421935,2388.8366887007155,2532.483442621783,2359.0387406058144,1982.0209652089172,1464.24955848899,901.169356230606
11,0.0,79.04941818952793,120.46451481560877,60.972668263123595,14.643456887556885,2.07353743681253,0.20678096749766225,0.016126565860412525,0.0010032024653414703
12,0.0,637.042592558266,1638.7443900479493,1755.3823940770194,1428.6717280045116,976.2888765011849,558.6579445180942,259.2697207598152,99.01692637061838
13,0.0,633.3614144968742,1178.410824523916,1223.1811907595275,1094.029437462409,865.3572913284636,542.7933722989974,236.06551566381555,67.90538267789113
14,0.0,377.35977709914744,1491.0632631773183,2956.665233381067,4023.39284778445,4420.863052239732,4279.678251185152,3779.039148022485,3081.2957684354847
15,0.0,452.19736064556844,1649.0590700503158,2895.1661197396998,3551.3550952006276,3606.626962092996,3259.406646579589,2674.0995575562347,1981.1277769242884
16,0.0,900.9367714305572,874.2606884293319,760.2284079438131,633.725730915587,446.5259718397018,187.24430630830784,34.315877167645866,3.332099135040972
17,0.0,598.1794717220049,2233.462151514474,3583.639185410385,3991.9808003392745,3768.5644883482146,3223.5728328731434,2523.3726043507177,1794.7261035229787
18,0.0,839.8325804674971,2255.0804534548042,2396.428087681504,2028.3192797860524,1521.5696621281822,1036.5603660466415,636.2172825402247,349.8386721620409
19,0.0,970.7548511923305,1733.2357177751785,1618.185448345236,1229.815969011607,775.9313250004549,385.96820514671765,139.6980772772199,37.71612238484368
20,0.0,520.3332519489012,1956.6031030455879,2824.056718651349,2853.594828575402,2452.09904664345,1891.0194306239885,1309.2600969697442,809.7972259739505
21,0.0,365.42045214738636,1369.8904960806965,2683.475698769933,3810.991754785005,4455.519014912641,4600.300822316816,4342.710351270121,3800.3207849705095
22,0.0,645.254375715247,2280.6255795345432,2983.634127436448,2856.0446975981736,2376.175480788673,1792.2681317545134,1219.721578549196,746.7224969058536
23,0.0,346.27172702820127,1307.5129660885807,2636.968557306962,3947.0979278859986,4915.1974260780435,5415.361435882771,5469.445053557627,5160.214501447219
24,0.0,424.0607922512749,1587.9641436411614,3169.775506622533,4710.416300669153,5861.203908447273,6500.9656951363,6663.485122870734,6437.020128788427
25,0.0,297.8733529543542,971.9961640033324,1189.1318466621199,998.590511389207,673.0735864164553,376.09318932992096,176.75038222529884,73.87713419391534
26,0.0,818.64158542961,2456.0857364201115,3342.4578282866605,3430.126915843874,3106.2424889122144,2567.381512393449,1909.8794682312057,1235.7776423824466
27,0.0,651.8704584744008,2085.7581857771675,3214.532061488469,3652.151933562412,3591.8191661768274,3227.378551719921,2662.7828855715425,1973.8430722482494
28,0.0,552.6096784201128,1952.5019566793324,2795.735529508756,2830.648396894389,2436.7073216804297,1868.0189707906577,1271.0064074227125,755.398686372118
29,0.0,675.1112882034968,2151.5685701626967,2569.8711790957027,2314.6396506063575,1817.9190336128602,1283.0405736440089,808.0394268944005,450.5401633053509
30,0.0,486.61028092424937,1635.6740229500078,2641.1108952357527,3062.3958543829435,2991.714040860288,2605.871596603649,2034.9425277062521,1394.0028153622425
31,0.0,710.2054082725448,2078.6604990237056,3021.291794921046,3365.765341054025,3340.600623712337,3094.413752275561,2676.465178219352,2102.989051890617
32,0.0,621.2636015980205,2247.1487174633744,2986.9625092489214,2884.085536641269,2414.4607864012482,1834.0994252100697,1259.440445806696,780.6919421439059
33,0.0,533.4770586521639,1707.7086292631006,2730.6106388861895,3248.911872002169,3335.5116546226614,3124.335333938216,2698.2534040570004,2111.634680730248
34,0.0,1020.945021471976,1158.4509387584756,1039.800959327489,884.284201535652,653.7158902231765,337.3678718686423,92.80496391615216,13.762321133128825
35,0.0,400.8265553480576,1488.9744079898855,2958.898034678573,4421.554451863941,5582.421497290472,6315.418274633521,6623.069689076896,6562.834054182692
36,0.0,477.1332050948423,1664.864326092602,3027.699540798078,4118.959923855343,4780.765778705705,5045.901979861187,4996.877431594823,4697.318920547138
37,0.0,508.6888270239129,1451.6689076332439,1883.1571450726267,1797.053678368853,1433.7377437798646,957.5578815102065,511.0058068874041,208.19403959023512
38,0.0,956.0299959052633,985.0272939192657,806.2404806223753,528.2595726537124,235.760716876117,56.99016943924139,6.98821978149575,0.618558695909246
39,0.0,1029.7341833899675,1719.9433188496268,1730.0079242124432,1602.386597018477,1424.951214279658,1153.5796902976333,753.5893037005703,344.0202330969898
40,0.0,442.72445251488006,1609.9639757760772,3081.0890208358915,4383.714568574272,5253.726061772873,5655.438214717474,5656.1713615359995,5338.982560577219
41,0.0,702.3917134784194,2566.4371810322864,3805.083968574114,4010.9394886400414,3651.474233467233,3038.6431776203517,2316.645538480064,1604.2978650067523
42,0.0,349.1523187164159,1219.9577124275609,2215.734429472682,2993.016838085632,3419.2514076124357,3508.4079647024037,3320.74886307199,2913.7547313529503
43,0.0,507.0827475779785,1940.6891110031024,3521.3522413050355,4389.330829504069,4523.968193059481,4182.856308815791,3558.1274646590364,2793.560346616735
44,0.0,420.96551847129325,992.7532840775867,985.6614386797311,693.8685794557907,371.4185969954085,146.56463364401054,43.88863405230013,11.24044847313291
45,0.0,930.0096112256413,2676.3225295500984,2993.102736176586,2649.1527272206877,2095.5183315802165,1513.349151937567,988.9502642344135,584.2064871279223
46,0.0,959.2075012469159,1266.6871744775615,1180.3286594719073,1057.0444427969398,902.952199722608,649.5196006656402,318.30985041578697,95.79767777781073
47,0.0,883.1709329086074,1953.130752806788,1980.9071251901864,1604.2339251336248,1111.809667566707,646.1080191910172,301.47216900092275,109.98605453767168
48,0.0,176.09306171216426,623.233422255159,1149.5275796338162,1563.478082338841,1761.8452191938811,1729.9395348372138,1508.1548293395444,1164.883419148685
49,0.0,431.8480244407453,1561.8569269910508,2967.4700031840916,4192.384818469719,4993.635164447152,5345.650618931267,5315.949638626793,4983.046866544437
50,0.0,321.38359034238493,1181.907881851564,2304.9073363355024,3351.721546108691,4089.2660499136828,4442.2778272380565,4435.553889223662,4130.661821736507
51,0.0,417.22359068263603,1499.4437184987758,2789.2229262111046,3804.3206553971436,4343.087370534215,4435.530002278942,4177.940308614212,3660.815235370405
52,0.0,648.1531253012499,2444.4417073676527,3420.634560557931,3430.707406579368,2983.1955845151483,2370.8296352740567,1718.8246512358055,1137.1397539866148
53,0.0,694.3655285599676,1938.4877080455492,2149.869050837903,1828.442038617024,1342.570988885856,862.8258939463492,478.27387789557224,225.94579365471347
54,0.0,514.7286849691085,1375.9665818051,1770.493072673164,1730.0121692096973,1439.612670957663,1008.2320420537426,559.109555632143,230.53951344866715
55,0.0,755.4398934695243,1020.7673851547958,837.6013779682437,519.5368138576343,222.75634760631263,55.22238786266894,8.311969401335865,0.9828943859060641
56,0.0,572.922814493952,1550.8454141082402,1766.9866681895685,1497.1882208655131,1053.8535410278964,612.6888678216976,282.50320945689367,103.39601659763996
57,0.0,273.8629969597669,1051.4108095640088,1645.4921244716406,1697.7646791086006,1409.1542520145497,999.6372253678309,610.8942251092994,323.7516735515402
58,0.0,428.7602225094805,1590.8806437223518,2530.7704537688746,2750.003893456028,2477.990031112284,1967.8537915696656,1384.5390342398607,852.5403892241125
59,0.0,214.13796824244312,792.2652669667489,1535.3665486698917,2166.3063937419297,2497.491107478178,2494.8139752218285,2218.4345913724824,1766.0449518183866
60,0.0,760.0442488608596,2279.323820284507,2791.8872601409284,2585.9958717179566,2089.7265455918055,1499.572787299658,939.1595673860272,499.2930290599421
61,0.0,655.2350593396848,1193.9578644808562,1225.7924659126543,1089.8803579929704,854.5830407978312,525.0207343812833,219.16159732281446,59.44298084648193
62,0.0,502.29210414320255,1440.175312747306,1993.3189453673947,2069.9979108132457,1843.3919044386944,1429.2010713683987,929.2765903688058,477.87379554936933
63,0.0,53.88522871887063,202.00573048116897,408.41920405111983,623.4043986711662,796.870952907677,890.2707240543396,886.718420773844,793.5537727713892
64,0.0,727.7061953794228,1582.0546012655575,1523.6913085864398,1148.47460968627,727.3234952905827,384.70561794740723,165.4157211275215,61.1131272073771
65,0.0,143.8700948637317,593.5599707279981,975.6595276203894,1004.0033490325773,802.426946292413,540.6613881297334,316.26289304951155,167.32952987102027
66,0.0,630.955594136634,2242.645749434292,3419.700551188867,3686.7519706741277,3396.576233007633,2831.664646752984,2143.6567882033546,1453.2474440010935
67,0.0,360.29858796585506,1066.8594802848897,1566.0428750190642,1714.3984669838342,1593.8105754586193,1289.1519895295455,884.298282216809,491.6188574374107
68,0.0,818.9558956057929,2264.9615420089303,2459.973873913772,2106.3476461409855,1592.792922106201,1086.8234563282751,663.9350817851674,359.97694264595987
69,0.0,340.87154958161756,1265.9794121653144,2505.029985757879,3702.8122403424422,4592.505474566152,5072.05308948843,5156.161181783469,4907.558341545428
70,0.0,304.5764212593628,1187.7397173764075,2208.0772032548452,2758.670943567734,2767.921899845083,2417.3508092842944,1880.8178189631524,1304.9494235564925
71,0.0,543.5046077648343,1507.143054021619,2052.4398045221524,2139.716777409987,1949.1016062240758,1574.4872635009897,1085.8006691535022,600.3985662921108
72,0.0,289.2988396271227,1074.3383949172498,1895.5897609946276,2274.2075626632964,2192.698594100597,1818.619039982746,1316.2321852634134,824.1668054617695
